C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_01_PEIS_C01.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.331341327964672E+000
3.162114257812500E+004	3.483585277365603E+000
1.000222949218750E+004	3.591660651311497E+000
3.161011230468750E+003	3.603219035949365E+000
1.000320068359375E+003	3.633965028060737E+000
3.163158569335938E+002	3.628496292895830E+000
1.000320053100586E+002	3.646197555146015E+000
3.162955093383789E+001	3.620120646180191E+000
1.000320053100586E+001	3.643212888537802E+000
3.160396575927734E+000	3.634853497539444E+000
9.985300302505493E-001	3.642006543040310E+000
3.195296227931976E-001	3.659675584650960E+000
9.985300153493881E-002	3.680928339352731E+000
2.995590120553970E-002	3.485754342711251E+000
9.985300712287426E-003	3.330247166980159E+000
