C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_01_PEIS_C01.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-4.710544204711914E+001
3.162114257812500E+004	-2.484471321105957E+001
1.000222949218750E+004	-1.494946384429932E+001
3.161011230468750E+003	-5.722591400146484E+000
1.000320068359375E+003	-4.270965099334717E+000
3.163158569335938E+002	-1.254345417022705E+000
1.000320053100586E+002	-1.591584324836731E+000
3.162955093383789E+001	-8.168265819549561E-001
1.000320053100586E+001	-2.454718798398972E-001
3.160396575927734E+000	-6.565502285957336E-001
9.985300302505493E-001	2.131667882204056E-001
3.195296227931976E-001	-2.949890494346619E-001
9.985300153493881E-002	6.765053272247314E+000
2.995590120553970E-002	-1.234827136993408E+001
9.985300712287426E-003	-4.614932632446289E+001
