C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_02_CA_C01.mpr
time/s	<I>/mA
2.080426097155578E+002	-3.412985801696777E-001
2.080526097153052E+002	-3.412081152200708E-001
2.080626097150525E+002	-3.411788463592540E-001
2.080726097147999E+002	-3.411747747659688E-001
2.080826097145473E+002	-3.411060810089115E-001
2.080926097142947E+002	-3.411264288425446E-001
2.081026097140420E+002	-3.410448855161672E-001
2.081126097137894E+002	-3.410167562961579E-001
2.081226097135368E+002	-3.409957683086393E-001
2.081326097132842E+002	-3.409133279323577E-001
2.081426097130316E+002	-3.409266823530199E-001
2.081526097127789E+002	-3.408448868989948E-001
2.081626097125263E+002	-3.408322787284863E-001
2.081726097122737E+002	-3.408138370513925E-001
2.081826097120211E+002	-3.407385188341143E-001
2.081926097117685E+002	-3.407477986812593E-001
2.082026097115158E+002	-3.406671434640884E-001
2.082126097112632E+002	-3.406480562686920E-001
2.082226097110106E+002	-3.406280714273455E-001
2.082326097107580E+002	-3.405582159757614E-001
2.082426097105053E+002	-3.405622893571856E-001
2.082526097102527E+002	-3.405036455392843E-001
2.082626097100001E+002	-3.404644525051115E-001
2.082726097097475E+002	-3.404446232318878E-001
2.082826097094949E+002	-3.403729873895651E-001
2.082926097092422E+002	-3.403882551193238E-001
2.083026097089896E+002	-3.403144526481627E-001
2.083126097087370E+002	-3.402813625335694E-001
2.083226097084844E+002	-3.402671372890484E-001
2.083326097082318E+002	-3.401933318376541E-001
2.083426097079791E+002	-3.402049124240882E-001
2.083526097077265E+002	-3.401400279998796E-001
2.083626097074739E+002	-3.401014775037767E-001
2.083726097072213E+002	-3.400962764024733E-001
2.083826097069687E+002	-3.400177466869359E-001
2.083926097067160E+002	-3.400191700458526E-001
2.084026097064634E+002	-3.399681317806253E-001
2.084126097062108E+002	-3.399456262588503E-001
2.084226097059582E+002	-3.399218147993093E-001
2.084326097057055E+002	-3.398419344425201E-001
2.084426097054529E+002	-3.398484069108969E-001
2.084526097052003E+002	-3.397900319099438E-001
2.084626097049477E+002	-3.397778052091605E-001
2.084726097046951E+002	-3.397508317232134E-001
2.084826097044424E+002	-3.396718156337739E-001
2.084926097041898E+002	-3.396863353252411E-001
2.085026097039372E+002	-3.396196538209928E-001
2.085126097036846E+002	-3.395797097682953E-001
2.085226097034320E+002	-3.395696443319327E-001
2.085326097031793E+002	-3.394985330104827E-001
2.085426097029267E+002	-3.395140522718432E-001
2.085526097026741E+002	-3.394415491819380E-001
2.085626097024215E+002	-3.394125342369083E-001
2.085726097021688E+002	-3.394041556119927E-001
2.085826097019162E+002	-3.393256312608721E-001
2.085926097016636E+002	-3.393344277143479E-001
2.086026097014110E+002	-3.392749899625791E-001
2.086126097011584E+002	-3.392460060119629E-001
2.086226097009057E+002	-3.392321342229856E-001
2.086326097006531E+002	-3.391533780097962E-001
2.086426097004005E+002	-3.391673773527151E-001
2.086526097001479E+002	-3.391048985719687E-001
2.086626096998953E+002	-3.390727174282073E-001
2.086726096996426E+002	-3.390734666585935E-001
2.086826096993900E+002	-3.389783066511161E-001
2.086926096991374E+002	-3.390079331398015E-001
2.087026096988848E+002	-3.389298343658447E-001
2.087126096986322E+002	-3.389012050628679E-001
2.087226096983795E+002	-3.389113706350333E-001
2.087326096981269E+002	-3.388216817378997E-001
2.087426096978743E+002	-3.388448375463485E-001
2.087526096976217E+002	-3.387673473358155E-001
2.087626096973690E+002	-3.387483930587769E-001
2.087726096971164E+002	-3.387523424625396E-001
2.087826096968638E+002	-3.386608815193188E-001
2.087926096966112E+002	-3.386756259202963E-001
2.088026096963586E+002	-3.385985189676285E-001
2.088126096961059E+002	-3.385872048139573E-001
2.088226096958533E+002	-3.385814797878264E-001
2.088326096956007E+002	-3.384977728128442E-001
2.088426096953481E+002	-3.385118740797051E-001
2.088526096950955E+002	-3.384421509504318E-001
2.088626096948428E+002	-3.384117496013641E-001
2.088726096945902E+002	-3.384165978431710E-001
2.088826096943376E+002	-3.383359354734421E-001
2.088926096940850E+002	-3.383508181571973E-001
2.089026096938323E+002	-3.382897561788560E-001
2.089126096935797E+002	-3.382499098777778E-001
2.089226096933271E+002	-3.382595795392990E-001
2.089326096930745E+002	-3.381674712896352E-001
2.089426096928219E+002	-3.381760054826741E-001
2.089526096925692E+002	-3.381298226118088E-001
2.089626096923166E+002	-3.380873239040374E-001
2.089726096920640E+002	-3.380903679132468E-001
2.089826096918114E+002	-3.380131608247767E-001
2.089926096915588E+002	-3.380319917201993E-001
2.090026096913061E+002	-3.379781693220147E-001
2.090126096910535E+002	-3.379393649101257E-001
2.090226096908009E+002	-3.379411387443543E-001
2.090326096905483E+002	-3.378481233119965E-001
2.090426096902956E+002	-3.378668528795243E-001
2.090526096900430E+002	-3.378064036369324E-001
2.090626096897904E+002	-3.377832490205764E-001
2.090726096895378E+002	-3.377708965539945E-001
2.090826096892852E+002	-3.377074092626575E-001
2.090926096890325E+002	-3.377122581005096E-001
2.091026096887799E+002	-3.376565325260161E-001
2.091126096885273E+002	-3.376236999034887E-001
2.091226096882747E+002	-3.376207971572875E-001
2.091326096880221E+002	-3.375524538755421E-001
2.091426096877694E+002	-3.375645518302921E-001
2.091526096875168E+002	-3.374978655576708E-001
2.091626096872642E+002	-3.374763590097434E-001
2.091726096870116E+002	-3.374565273523331E-001
2.091826096867590E+002	-3.373889654874802E-001
2.091926096865063E+002	-3.374083030223847E-001
2.092026096862537E+002	-3.373471146821978E-001
2.092126096860011E+002	-3.373131322860718E-001
2.092226096857485E+002	-3.373133796453480E-001
2.092326096854958E+002	-3.372415232658388E-001
2.092426096852432E+002	-3.372513169050233E-001
2.092526096849906E+002	-3.371875774860378E-001
2.092626096847380E+002	-3.371586972475065E-001
2.092726096844854E+002	-3.371550017595295E-001
2.092826096842327E+002	-3.370805525779730E-001
2.092926096839801E+002	-3.371024519205097E-001
2.093026096837275E+002	-3.370174580812453E-001
2.093126096834749E+002	-3.370086938142780E-001
2.093226096832223E+002	-3.369883120059978E-001
2.093326096829696E+002	-3.369259971380236E-001
2.093426096827170E+002	-3.369521939754483E-001
2.093526096824644E+002	-3.368855285644541E-001
2.093626096822118E+002	-3.368658018112187E-001
2.093726096819591E+002	-3.368498927354815E-001
2.093826096817065E+002	-3.367827212810517E-001
2.093926096814539E+002	-3.368011599779130E-001
2.094026096812013E+002	-3.367374420166023E-001
2.094126096809487E+002	-3.367208850383758E-001
2.094226096806960E+002	-3.366945517063158E-001
2.094326096804434E+002	-3.366308051347744E-001
2.094426096801908E+002	-3.366418695449838E-001
2.094526096799382E+002	-3.365795475244528E-001
2.094626096796856E+002	-3.365724259614948E-001
2.094726096794329E+002	-3.365535801649093E-001
2.094826096791803E+002	-3.364857584238052E-001
2.094926096789277E+002	-3.364994972944269E-001
2.095026096786751E+002	-3.364357835054408E-001
2.095126096784225E+002	-3.364160531759266E-001
2.095226096781698E+002	-3.364067757129670E-001
2.095326096779172E+002	-3.363283795118335E-001
2.095426096776646E+002	-3.363538342714314E-001
2.095526096774120E+002	-3.362883096933365E-001
2.095626096771593E+002	-3.362618499994294E-001
2.095726096769067E+002	-3.362664413452165E-001
2.095826096766541E+002	-3.361821919679651E-001
2.095926096764015E+002	-3.362015324831020E-001
2.096026096761489E+002	-3.361416327953348E-001
2.096126096758962E+002	-3.361219060420995E-001
2.096226096756436E+002	-3.361109489202500E-001
2.096326096753910E+002	-3.360267287492752E-001
2.096426096751384E+002	-3.360631114244463E-001
2.096526096748858E+002	-3.359952974319462E-001
2.096626096746331E+002	-3.359787631034861E-001
2.096726096743805E+002	-3.359665685892121E-001
2.096826096741279E+002	-3.359038305282591E-001
2.096926096738753E+002	-3.359287619590763E-001
2.097026096736226E+002	-3.358657974004745E-001
2.097126096733700E+002	-3.358406001329426E-001
2.097226096731174E+002	-3.358115875720977E-001
2.097326096728648E+002	-3.357642471790321E-001
2.097426096726122E+002	-3.357874017953879E-001
2.097526096723595E+002	-3.357057344913481E-001
2.097626096721069E+002	-3.356919908523559E-001
2.097726096718543E+002	-3.356696116924285E-001
2.097826096716017E+002	-3.356298977136625E-001
2.097926096713491E+002	-3.356272464990617E-001
2.098026096710964E+002	-3.355685734748841E-001
2.098126096708438E+002	-3.355543506145473E-001
2.098226096705912E+002	-3.355295377969741E-001
2.098326096703386E+002	-3.354685789346696E-001
2.098426096700859E+002	-3.354892039299013E-001
2.098526096698333E+002	-3.354274952411651E-001
2.098626096695807E+002	-3.353996199369433E-001
2.098726096693281E+002	-3.353984832763679E-001
2.098826096690755E+002	-3.353365254402156E-001
2.098926096688228E+002	-3.353458023071290E-001
2.099026096685702E+002	-3.352811795473105E-001
2.099126096683176E+002	-3.352673125267027E-001
2.099226096680650E+002	-3.352562439441682E-001
2.099326096678124E+002	-3.351877784729007E-001
2.099426096675597E+002	-3.352020412683487E-001
2.099526096673071E+002	-3.351477104425430E-001
2.099626096670545E+002	-3.351146233081819E-001
2.099726096668019E+002	-3.351109379529955E-001
2.099826096665493E+002	-3.350470638275147E-001
2.099926096662966E+002	-3.350641363859181E-001
2.100026096660440E+002	-3.350084084272389E-001
2.100126096657914E+002	-3.349819302558901E-001
2.100226096655388E+002	-3.349525529146202E-001
2.100326096652861E+002	-3.349129742383958E-001
2.100426096650335E+002	-3.349230289459229E-001
2.100526096647809E+002	-3.348652666807177E-001
2.100626096645283E+002	-3.348379069566731E-001
2.100726096642757E+002	-3.348324418067934E-001
2.100826096640230E+002	-3.347624576091766E-001
2.100926096637704E+002	-3.347751921415334E-001
2.101026096635178E+002	-3.347242957353593E-001
2.101126096632652E+002	-3.346886801719675E-001
2.101226096630126E+002	-3.346971899271012E-001
2.101326096627599E+002	-3.346290141344070E-001
2.101426096625073E+002	-3.346350979804988E-001
2.101526096622547E+002	-3.345838326215747E-001
2.101626096620021E+002	-3.345700818300247E-001
2.101726096617494E+002	-3.345564693212513E-001
2.101826096614968E+002	-3.344979590177536E-001
2.101926096612442E+002	-3.345017808675772E-001
2.102026096609916E+002	-3.344567233324067E-001
2.102126096607390E+002	-3.344359964132311E-001
2.102226096604863E+002	-3.344144916534422E-001
2.102326096602337E+002	-3.343759351968769E-001
2.102426096599811E+002	-3.343732821941385E-001
2.102526096597285E+002	-3.343249356746671E-001
2.102626096594759E+002	-3.342894208431249E-001
2.102726096592232E+002	-3.342690807580948E-001
2.102826096589706E+002	-3.342159020900728E-001
2.102926096587180E+002	-3.342349904775626E-001
2.103026096584654E+002	-3.341863763332367E-001
