C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_03_PEIS_C01.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-4.496931838989258E+001
3.162114257812500E+004	-2.386983680725098E+001
1.000222949218750E+004	-1.725004959106445E+001
3.161011230468750E+003	-7.228595733642578E+000
1.000320068359375E+003	-2.458560705184937E+000
3.163158569335938E+002	-1.133102774620056E+000
1.000320053100586E+002	-1.029983982443810E-001
3.162955093383789E+001	-7.857500910758972E-001
1.000320053100586E+001	-5.360161662101746E-001
3.160396575927734E+000	-1.311838626861572E+000
9.985300302505493E-001	-6.912254095077515E-001
3.195296227931976E-001	-7.402934432029724E-001
9.985300153493881E-002	-2.218851804733276E+000
2.995590120553970E-002	5.735074043273926E+000
9.985300712287426E-003	4.186323642730713E+000
