C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_03_PEIS_C01.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.325637158723595E+000
3.162114257812500E+004	3.464687042343627E+000
1.000222949218750E+004	3.566124903706014E+000
3.161011230468750E+003	3.613429015858195E+000
1.000320068359375E+003	3.624733378291654E+000
3.163158569335938E+002	3.631278550468588E+000
1.000320053100586E+002	3.630239514891644E+000
3.162955093383789E+001	3.632360792670081E+000
1.000320053100586E+001	3.637298004490368E+000
3.160396575927734E+000	3.631366420464944E+000
9.985300302505493E-001	3.638998287361824E+000
3.195296227931976E-001	3.638737756648611E+000
9.985300153493881E-002	3.637896309095424E+000
2.995590120553970E-002	3.657512891223472E+000
9.985300712287426E-003	3.441331263767820E+000
