C:\EC-Lab Development Package\Examples\Python\channel 2 data for poster_trial_3_02_CA_C02.mpr
time/s	<I>/mA
1.040194049364072E+002	2.414626744575798E-003
1.040594049353967E+002	2.879149643704296E-003
1.040994049343863E+002	2.855615261942147E-003
1.041394049333758E+002	2.824809593148528E-003
1.041794049323653E+002	2.802846212871371E-003
1.042194049313548E+002	2.800319087691605E-003
1.042594049303443E+002	2.776046148501327E-003
1.042994049293338E+002	2.778974403627215E-003
1.043394049283233E+002	2.763828728348017E-003
1.043794049273129E+002	2.756678555160760E-003
1.044194049263024E+002	2.761782822199165E-003
1.044594049252919E+002	2.742095743305972E-003
1.045418049232103E+002	-2.964136546850207E-001
1.045818049221998E+002	-2.931556153297423E-001
1.046218049211893E+002	-2.911944729089737E-001
1.046618049201788E+002	-2.899547225236893E-001
1.047018049191684E+002	-2.890755188465119E-001
1.047418049181579E+002	-2.884507215023040E-001
1.047818049171474E+002	-2.879678541421895E-001
1.048218049161369E+002	-2.875531959533690E-001
1.048618049151264E+002	-2.872398811578750E-001
1.049018049141159E+002	-2.869634127616880E-001
1.049418049131054E+002	-2.867227470874787E-001
1.049818049120950E+002	-2.865289151668549E-001
1.050218049110845E+002	-2.863423299789427E-001
1.050618049100740E+002	-2.861972481012345E-001
1.051018049090635E+002	-2.860268366336822E-001
1.051418049080530E+002	-2.859108775854111E-001
1.051818049070425E+002	-2.857979851961135E-001
1.052218049060320E+002	-2.856957960128783E-001
1.052618049050216E+002	-2.856098753213883E-001
1.053018049040111E+002	-2.855171060562132E-001
1.053418049030006E+002	-2.854561454057696E-001
1.053818049019901E+002	-2.853790187835694E-001
1.054218049009796E+002	-2.853053206205368E-001
1.054614048999792E+002	-2.852665508786838E-001
1.055016048989637E+002	2.104114431887860E-002
1.055416048979532E+002	1.602254040539265E-002
1.055816048969427E+002	1.327740443870423E-002
1.056216048959323E+002	1.164169991388916E-002
1.056838048943609E+002	1.000415690243245E-002
1.057238048933505E+002	9.455198124051101E-003
1.057638048923400E+002	9.076202511787410E-003
1.058038048913295E+002	8.797955606132744E-003
1.058438048903190E+002	8.564973901957262E-003
1.058838048893085E+002	8.397250398993493E-003
1.059238048882980E+002	8.236181866377593E-003
1.059614048873482E+002	8.107085516186135E-003
1.060218048858223E+002	-2.939589565992358E-001
1.060618048848119E+002	-2.904210346937184E-001
1.061018048838014E+002	-2.885744285583496E-001
1.061418048827909E+002	-2.875230568647389E-001
1.061818048817804E+002	-2.868575423955919E-001
1.062218048807699E+002	-2.863997197151185E-001
1.062618048797594E+002	-2.860977309942250E-001
1.063018048787490E+002	-2.858589655160904E-001
1.063418048777385E+002	-2.856744146347054E-001
1.063818048767280E+002	-2.855204081535339E-001
1.064218048757175E+002	-2.853951817750930E-001
1.064618048747070E+002	-2.853077298402789E-001
1.065018048736965E+002	-2.851977926492691E-001
1.065418048726860E+002	-2.851506805419921E-001
1.065818048716756E+002	-2.850674396753311E-001
1.066218048706651E+002	-2.850175529718399E-001
1.066618048696546E+002	-2.849493616819382E-001
1.067018048686441E+002	-2.848810052871702E-001
1.067418048676336E+002	-2.848636800050736E-001
1.067818048666231E+002	-2.848028552532196E-001
1.068218048656126E+002	-2.847720426321030E-001
1.068618048646022E+002	-2.847428947687149E-001
1.069018048635917E+002	-2.847007751464847E-001
1.069418048625812E+002	-2.846788787841796E-001
1.069816048615758E+002	2.595525693148371E-002
1.070216048605653E+002	1.856569729745389E-002
1.070616048595548E+002	1.456845492124559E-002
1.071238048579835E+002	1.086985971778631E-002
1.071638048569730E+002	9.883975721895692E-003
1.072038048559625E+002	9.133633002638822E-003
1.072438048549520E+002	8.616373781114815E-003
1.072838048539415E+002	8.276484105736004E-003
1.073238048529311E+002	8.021334148943425E-003
1.073638048519206E+002	7.844422236084933E-003
1.074038048509101E+002	7.715982571244229E-003
1.074438048498996E+002	7.596412589773532E-003
1.075018048484344E+002	-2.974540966749197E-001
1.075418048474239E+002	-2.921651619672775E-001
1.075818048464134E+002	-2.894791090488433E-001
1.076218048454029E+002	-2.879756379127503E-001
1.076618048443925E+002	-2.870875209569936E-001
1.077018048433820E+002	-2.864787858724595E-001
1.077418048423715E+002	-2.860847401618958E-001
1.077818048413610E+002	-2.857848721742630E-001
1.078218048403505E+002	-2.855503278970718E-001
1.078618048393400E+002	-2.853767204284670E-001
1.079018048383296E+002	-2.852270519733437E-001
1.079418048373191E+002	-2.851226937770843E-001
1.079818048363086E+002	-2.850224047899248E-001
1.080218048352981E+002	-2.849259394407272E-001
1.080618048342876E+002	-2.848677569627767E-001
1.081018048332771E+002	-2.848038768768308E-001
1.081418048322666E+002	-2.847451907396317E-001
1.081818048312562E+002	-2.846968412399296E-001
1.082218048302457E+002	-2.846683305501938E-001
1.082618048292352E+002	-2.846189528703693E-001
1.083018048282247E+002	-2.845779603719714E-001
1.083418048272142E+002	-2.845437157154085E-001
1.083818048262037E+002	-2.845270431041715E-001
1.084218048251932E+002	-2.844799685478212E-001
1.084614048241929E+002	-2.844680324196824E-001
1.085016048231773E+002	2.180757977068423E-002
1.085416048221668E+002	1.637253947556017E-002
1.085816048211564E+002	1.318665856495499E-002
1.086438048195851E+002	1.019795633852481E-002
1.086838048185746E+002	9.185235239565367E-003
1.087238048175641E+002	8.499971777200688E-003
1.087638048165536E+002	8.034021686762566E-003
1.088038048155431E+002	7.720322180539363E-003
1.088438048145326E+002	7.481525186449289E-003
1.088838048135221E+002	7.324923127889627E-003
1.089238048125117E+002	7.198175638914103E-003
1.089614048115618E+002	7.090305247785228E-003
1.090218048100360E+002	-2.947179949283600E-001
1.090618048090255E+002	-2.909012496471406E-001
1.091018048080150E+002	-2.888060736656191E-001
1.091418048070045E+002	-2.875899887084969E-001
1.091818048059940E+002	-2.868257093429567E-001
1.092218048049835E+002	-2.862785708904267E-001
