C:\EC-Lab Development Package\Examples\Python\channel 2 data for poster_trial_3_03_PEIS_C02.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-5.172307586669922E+001
3.162114257812500E+004	-3.454591369628906E+001
1.000222949218750E+004	-1.941259384155273E+001
3.161011230468750E+003	-8.744417190551758E+000
1.000320068359375E+003	-3.237251043319702E+000
3.163158569335938E+002	-1.193129897117615E+000
1.000320053100586E+002	-8.725942373275757E-001
3.162955093383789E+001	-8.991269469261169E-001
1.000320053100586E+001	-8.764942884445190E-001
3.160396575927734E+000	-2.188167095184326E+000
9.985300302505493E-001	-2.868527412414551E+000
3.195296227931976E-001	-4.007586002349854E+000
9.985300153493881E-002	6.295166969299316E+000
2.995590120553970E-002	-1.175866603851318E+001
9.985300712287426E-003	-4.871628570556641E+001
