C:\EC-Lab Development Package\Examples\Python\channel 2 data for poster_trial_3_01_PEIS_C02.mpr
freq/Hz, log spacing	Phase(Z)/deg
1.000037109375000E+005	-5.275722885131836E+001
3.162114257812500E+004	-3.410692977905273E+001
1.000222949218750E+004	-2.149462509155273E+001
3.161011230468750E+003	-8.065346717834473E+000
1.000320068359375E+003	-3.113299369812012E+000
3.163158569335938E+002	-1.309183359146118E+000
1.000320053100586E+002	-6.010600328445435E-001
3.162955093383789E+001	-1.170291423797607E+000
1.000320053100586E+001	-9.724465012550354E-001
3.160396575927734E+000	-2.758276224136353E+000
9.985300302505493E-001	-3.531631231307983E+000
3.195296227931976E-001	-2.961638212203979E+000
9.985300153493881E-002	-7.111251354217529E-002
2.995590120553970E-002	7.085092067718506E-001
9.985300712287426E-003	-9.906496047973633E+000
