C:\EC-Lab Development Package\Examples\Python\channel 4 data for poster_trial_3_02_CA_C04.mpr
time/s	<I>/mA
2.060946097831038E+002	-1.989921554923058E-002
2.061046097828512E+002	-1.983542952686548E-002
2.061146097825986E+002	-1.978238333016635E-002
2.061246097823459E+002	-1.971106052398681E-002
2.061346097820933E+002	-1.965590331703426E-002
2.061446097818407E+002	-1.962640162557364E-002
2.061546097815881E+002	-1.956546485424042E-002
2.061646097813355E+002	-1.955734424293040E-002
2.061746097810828E+002	-1.951798036694527E-002
2.061846097808302E+002	-1.948402438312769E-002
2.061946097805776E+002	-1.947514165192842E-002
2.062046097803250E+002	-1.943372745066881E-002
2.062146097800724E+002	-1.943772315979003E-002
2.062246097798197E+002	-1.941384907811883E-002
2.062346097795671E+002	-1.939786270260810E-002
2.062446097793145E+002	-1.940090376883746E-002
2.062546097790619E+002	-1.936682160943748E-002
2.062646097788092E+002	-1.938379950821399E-002
2.062746097785566E+002	-1.936614755541088E-002
2.062846097783040E+002	-1.935193121433258E-002
2.062946097780514E+002	-1.936161663383248E-002
2.063046097777988E+002	-1.932897262275218E-002
2.063146097775461E+002	-1.934376005083323E-002
2.063246097772935E+002	-1.932302817702294E-002
2.063346097770409E+002	-1.931487072259191E-002
2.063446097767883E+002	-1.932500176131724E-002
2.063546097765357E+002	-1.929319608956578E-002
2.063646097762830E+002	-1.931091200560332E-002
2.063746097760304E+002	-1.929141394793987E-002
2.063846097757778E+002	-1.928657852113247E-002
2.063946097755252E+002	-1.929645400494340E-002
2.064046097752725E+002	-1.927264180034402E-002
2.064146097750199E+002	-1.928764745593071E-002
2.064246097747673E+002	-1.926948677748442E-002
2.064346097745147E+002	-1.926373362541198E-002
2.064446097742621E+002	-1.927218452095986E-002
2.064546097740094E+002	-1.924828201532369E-002
2.064646097737568E+002	-1.926687780767683E-002
2.064746097735042E+002	-1.924886886030439E-002
2.064846097732516E+002	-1.924207117408516E-002
2.064946097729990E+002	-1.925516724586487E-002
2.065046097727463E+002	-1.922944694757467E-002
2.065144097724988E+002	-1.925271240120036E-002
2.065448097717308E+002	-3.337086439132690E-001
2.065548097714782E+002	-3.326611590385435E-001
2.065648097712256E+002	-3.308520472049725E-001
2.065748097709729E+002	-3.292664158344278E-001
2.065848097707203E+002	-3.278975898027436E-001
2.065948097704677E+002	-3.267215651273734E-001
2.066048097702151E+002	-3.256676709651956E-001
2.066144097699726E+002	-3.247653823345900E-001
2.066246097697149E+002	-8.149015745099568E-004
2.066346097694623E+002	-4.283367213793099E-003
2.066446097692096E+002	-6.251935651525861E-003
2.066546097689570E+002	-7.707252688705920E-003
2.066646097687044E+002	-8.879452906548978E-003
2.066746097684518E+002	-9.820881579071294E-003
2.066846097681992E+002	-1.057025402784348E-002
2.066946097679465E+002	-1.120373163372278E-002
2.067046097676939E+002	-1.172042224556208E-002
2.067146097674413E+002	-1.218183944001797E-002
2.067246097671887E+002	-1.255894565954804E-002
2.067346097669360E+002	-1.288918457925320E-002
2.067446097666834E+002	-1.319649850949645E-002
2.067750097659155E+002	-1.440943591296673E-002
2.067850097656628E+002	-1.446160437539223E-002
2.067950097654102E+002	-1.464356172829867E-002
2.068050097651576E+002	-1.476745855063200E-002
2.068150097649050E+002	-1.492127684876323E-002
2.068250097646524E+002	-1.503543773666025E-002
2.068350097643997E+002	-1.514238214120269E-002
2.068450097641471E+002	-1.526340350508693E-002
2.068550097638945E+002	-1.533475078642368E-002
2.068650097636419E+002	-1.545205567032099E-002
2.068750097633892E+002	-1.552215557545422E-002
2.068850097631366E+002	-1.559889830648903E-002
2.068950097628840E+002	-1.569285083562136E-002
2.069050097626314E+002	-1.573939219117165E-002
2.069150097623788E+002	-1.582821428775788E-002
2.069250097621261E+002	-1.588389448821545E-002
2.069350097618735E+002	-1.593970328569412E-002
2.069450097616209E+002	-1.601851958781481E-002
2.069550097613683E+002	-1.604791950434448E-002
2.069650097611157E+002	-1.612369555979967E-002
2.069750097608630E+002	-1.616425633430481E-002
2.069850097606104E+002	-1.620760578662157E-002
2.069950097603578E+002	-1.626958493143321E-002
2.070050097601052E+002	-1.629328351467848E-002
2.070150097598525E+002	-1.636079892516136E-002
2.070250097595999E+002	-1.639329109340906E-002
2.070350097593473E+002	-1.642817575484518E-002
2.070450097590947E+002	-1.648459590971470E-002
2.070550097588421E+002	-1.649934567511083E-002
2.070650097585894E+002	-1.655915006995201E-002
2.070750097583368E+002	-1.658676803112030E-002
2.070850097580842E+002	-1.661574646830559E-002
2.070950097578316E+002	-1.666534285992385E-002
2.071050097575790E+002	-1.667174510657787E-002
2.071144097573415E+002	-1.673243333526120E-002
2.071448097565735E+002	-3.313397765159607E-001
2.071548097563209E+002	-3.302358734607695E-001
2.071648097560683E+002	-3.284628123044968E-001
2.071748097558157E+002	-3.269352906942368E-001
2.071848097555630E+002	-3.256373786926270E-001
2.071948097553104E+002	-3.245548307895660E-001
2.072048097550578E+002	-3.235497385263448E-001
2.072144097548153E+002	-3.227466270327568E-001
2.072246097545576E+002	1.125680730611372E-003
2.072346097543050E+002	-2.450052709318702E-003
2.072446097540524E+002	-4.528276119381190E-003
2.072546097537997E+002	-6.080512227490550E-003
2.072646097535471E+002	-7.337660333141705E-003
2.072746097532945E+002	-8.330923672765500E-003
2.072846097530419E+002	-9.185112006962301E-003
2.072946097527893E+002	-9.893220681697137E-003
2.073046097525366E+002	-1.046480268239974E-002
2.073146097522840E+002	-1.099295493215324E-002
2.073246097520314E+002	-1.142240446060899E-002
2.073346097517788E+002	-1.179441703483464E-002
2.073446097515262E+002	-1.213942969217896E-002
2.073750097507582E+002	-1.346127688884735E-002
2.073850097505056E+002	-1.354670017957688E-002
2.073950097502529E+002	-1.375371674075723E-002
2.074050097500003E+002	-1.390146421268584E-002
2.074150097497477E+002	-1.408048197627068E-002
2.074250097494951E+002	-1.421439552679658E-002
2.074350097492425E+002	-1.433982003480200E-002
2.074450097489898E+002	-1.448083423078061E-002
2.074550097487372E+002	-1.457125924527644E-002
2.074650097484846E+002	-1.470252528786659E-002
2.074750097482320E+002	-1.478770710527899E-002
2.074850097479793E+002	-1.487743267789485E-002
2.074950097477267E+002	-1.498085208237171E-002
2.075050097474741E+002	-1.503891214728355E-002
2.075150097472215E+002	-1.513393117114903E-002
2.075250097469689E+002	-1.519759211689234E-002
2.075350097467162E+002	-1.526435792446140E-002
2.075450097464636E+002	-1.534728636965157E-002
2.075550097462110E+002	-1.538528999313712E-002
2.075650097459584E+002	-1.546633515506983E-002
2.075750097457058E+002	-1.551518119871616E-002
2.075850097454531E+002	-1.555879570543767E-002
2.075950097452005E+002	-1.562871741130950E-002
2.076050097449479E+002	-1.565468164160849E-002
2.076150097446953E+002	-1.572148632258180E-002
2.076250097444427E+002	-1.575276944786314E-002
2.076350097441900E+002	-1.579153567552566E-002
2.076450097439374E+002	-1.585178449749947E-002
2.076550097436848E+002	-1.586882635951042E-002
2.076650097434322E+002	-1.593220591545105E-002
2.076750097431795E+002	-1.595820669084787E-002
2.076850097429269E+002	-1.599300250411034E-002
2.076950097426743E+002	-1.604669775813822E-002
2.077050097424217E+002	-1.605761740356687E-002
2.077144097421842E+002	-1.611551404633427E-002
2.077448097414162E+002	-3.305565416812897E-001
2.077548097411636E+002	-3.295247101783749E-001
2.077648097409110E+002	-3.277251416444779E-001
2.077748097406584E+002	-3.261780005693442E-001
2.077848097404058E+002	-3.249034160375599E-001
2.077948097401531E+002	-3.237783449888241E-001
2.078048097399005E+002	-3.227834212780003E-001
2.078144097396580E+002	-3.219681686411301E-001
2.078246097394003E+002	1.859985626981820E-003
2.078346097391477E+002	-1.761429308680819E-003
2.078446097388951E+002	-3.846275252290074E-003
2.078546097386425E+002	-5.424620006233456E-003
2.078646097383898E+002	-6.720612468197940E-003
2.078746097381372E+002	-7.747624879702930E-003
2.078846097378846E+002	-8.600794430822151E-003
2.078946097376320E+002	-9.337176475673920E-003
2.079046097373794E+002	-9.914998952299355E-003
2.079146097371267E+002	-1.046594846993687E-002
2.079246097368741E+002	-1.090533273294569E-002
2.079346097366215E+002	-1.129874071106315E-002
2.079446097363689E+002	-1.165967250242829E-002
2.079750097356009E+002	-1.301774103194475E-002
2.079850097353483E+002	-1.311858994886281E-002
2.079950097350957E+002	-1.333690846338870E-002
2.080050097348430E+002	-1.349283941090107E-002
2.080150097345904E+002	-1.367982396855950E-002
2.080250097343378E+002	-1.382333377376199E-002
2.080350097340852E+002	-1.395700514316559E-002
2.080450097338326E+002	-1.410465084016327E-002
2.080550097335799E+002	-1.419970819726588E-002
