C:\EC-Lab Development Package\Examples\Python\channel 4 data for poster_trial_3_03_PEIS_C04.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.300566932619987E+000
3.162114257812500E+004	3.431196834697912E+000
1.000222949218750E+004	3.536386388891039E+000
3.161011230468750E+003	3.584943909776461E+000
1.000320068359375E+003	3.595890448920207E+000
3.163158569335938E+002	3.596497202206143E+000
1.000320053100586E+002	3.600835939994898E+000
3.162955093383789E+001	3.603945882840282E+000
1.000320053100586E+001	3.608670689348264E+000
3.160396575927734E+000	3.614579733823126E+000
9.985300302505493E-001	3.627081335817546E+000
3.195296227931976E-001	3.647682517905264E+000
9.985300153493881E-002	3.676330057307117E+000
2.995590120553970E-002	3.634018668260965E+000
9.985300712287426E-003	3.522669828657089E+000
