C:\EC-Lab Development Package\Examples\Python\channel 4 data for poster_trial_3_01_PEIS_C04.mpr
freq/Hz, log spacing	log (|Z|/Ohm)
1.000037109375000E+005	3.309512350190809E+000
3.162114257812500E+004	3.437834913409122E+000
1.000222949218750E+004	3.542327595683413E+000
3.161011230468750E+003	3.588031563609613E+000
1.000320068359375E+003	3.598980836382587E+000
3.163158569335938E+002	3.604968780617754E+000
1.000320053100586E+002	3.604787564114651E+000
3.162955093383789E+001	3.602523752714473E+000
1.000320053100586E+001	3.609090336124797E+000
3.160396575927734E+000	3.616165496224952E+000
9.985300302505493E-001	3.629736572733643E+000
3.195296227931976E-001	3.644691975159212E+000
9.985300153493881E-002	3.661688667117668E+000
2.995590120553970E-002	3.660876127066774E+000
9.985300712287426E-003	3.947288560065716E+000
