C:\EC-Lab Development Package\Examples\Python\channel 3 data for poster_trial3_02_CA_C03.mpr
time/s	<I>/mA
2.070048097601102E+002	-3.099965465068817E-001
2.070144097598677E+002	-3.098537058879933E-001
2.070246097596100E+002	1.758405984397612E-002
2.070346097593574E+002	1.315268274396653E-002
2.070446097591048E+002	1.037405831739305E-002
2.070546097588522E+002	8.115017740055918E-003
2.070646097585995E+002	6.188115021213886E-003
2.070746097583469E+002	4.551990786567331E-003
2.070846097580943E+002	3.114385125227270E-003
2.070946097578417E+002	1.876570717431605E-003
2.071046097575891E+002	7.987164866062810E-004
2.071146097573364E+002	-1.758062273074757E-004
2.071246097570838E+002	-1.031090653268622E-003
2.071346097568312E+002	-1.791060499381276E-003
2.071446097565786E+002	-2.497328659519554E-003
2.071758097557904E+002	-4.694446921348572E-003
2.071858097555378E+002	-4.894451294094323E-003
2.071958097552852E+002	-5.315363490954045E-003
2.072058097550325E+002	-5.678915623575476E-003
2.072158097547799E+002	-6.037559993565089E-003
2.072258097545273E+002	-6.359417252242580E-003
2.072358097542747E+002	-6.648761266842485E-003
2.072458097540220E+002	-6.929280357435355E-003
2.072558097537694E+002	-7.169669251888999E-003
2.072658097535168E+002	-7.421781467273833E-003
2.072758097532642E+002	-7.630648361518999E-003
2.072858097530116E+002	-7.837671833112837E-003
2.072958097527589E+002	-8.044211473315965E-003
2.073058097525063E+002	-8.208369687199596E-003
2.073158097522537E+002	-8.381747659295797E-003
2.073258097520011E+002	-8.532515931874513E-003
2.073358097517485E+002	-8.687341827899236E-003
2.073458097514958E+002	-8.840348850935709E-003
2.073558097512432E+002	-8.959761001169679E-003
2.073658097509906E+002	-9.101425316184759E-003
2.073758097507380E+002	-9.212954100221396E-003
2.073858097504854E+002	-9.332480654120456E-003
2.073958097502327E+002	-9.449897427111865E-003
2.074058097499801E+002	-9.541818629950294E-003
2.074158097497275E+002	-9.654783885926027E-003
2.074258097494749E+002	-9.748129453510057E-003
2.074358097492222E+002	-9.836376011371606E-003
2.074458097489696E+002	-9.940758440643550E-003
2.074558097487170E+002	-1.001649223268031E-002
2.074658097484644E+002	-1.011360123753549E-002
2.074758097482118E+002	-1.017861653119326E-002
2.074858097479591E+002	-1.025862291455271E-002
2.074958097477065E+002	-1.033439615741372E-002
2.075058097474539E+002	-1.039110727608206E-002
2.075144097472366E+002	-1.047672682203527E-002
2.075448097464687E+002	-3.281076550483704E-001
2.075548097462161E+002	-3.269366776943219E-001
2.075648097459634E+002	-3.248312336206443E-001
2.075748097457108E+002	-3.230296611785892E-001
2.075848097454582E+002	-3.215038770437241E-001
2.075948097452056E+002	-3.201799154281617E-001
2.076048097449529E+002	-3.190184593200684E-001
2.076148097447003E+002	-3.180170732736594E-001
2.076248097444477E+002	-3.171206992864609E-001
2.076348097441951E+002	-3.163250917196279E-001
2.076448097439425E+002	-3.156267112493515E-001
2.076548097436898E+002	-3.149858391284943E-001
2.076648097434372E+002	-3.144147306680685E-001
2.076748097431846E+002	-3.138950121402742E-001
2.076848097429320E+002	-3.134237807989121E-001
2.076948097426794E+002	-3.130004203319547E-001
2.077048097424267E+002	-3.125538849830627E-001
2.077148097421741E+002	-3.121864891052244E-001
2.077248097419215E+002	-3.118257206678391E-001
2.077348097416689E+002	-3.115009593963625E-001
2.077448097414162E+002	-3.111931455135344E-001
2.077548097411636E+002	-3.108977717161179E-001
2.077648097409110E+002	-3.106507682800292E-001
2.077748097406584E+002	-3.103706908226012E-001
2.077848097404058E+002	-3.101402169466021E-001
